input_value,input_matched_alias,entity_id,disease_master_id,disease_id,disease_label,disease_description,omic_status,disease_groups,disease_source_system,disease_data_source,disease_etl_package_id,xref_ids_by_source,clingen_gene_count,clingen_relationship_count,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
MONDO:0019391,MONDO:0019391,187289,19390,MONDO:0019391,Fanconi anemia,"Fanconi anemia (FA) is a hereditary DNA repair disorder characterized by progressive pancytopenia with bone marrow failure, variable congenital malformations and predisposition to develop hematological or solid tumors.",active,"['clingen', 'gard_rare', 'nord_rare', 'ordo_disorder', 'ordo_malformation_syndrome', 'orphanet_rare', 'otar', 'rare']",MONDO,mondo,50,"{'MONDO': ['MONDO:0019391'], 'DOID': ['13636'], 'GARD': ['0006425'], 'ICD9': ['284.09'], 'MEDGEN': ['41967'], 'MESH': ['D005199'], 'MedDRA': ['10055206'], 'NANDO': ['1200303', '1200891', '2200652'], 'NCIT': ['C62505'], 'NORD': ['1132'], 'OMIMPS': ['227650'], 'Orphanet': ['84'], 'SCTID': ['30575002'], 'UMLS': ['C0015625']}",1,1,,,"['0006425', '10055206', '1132', '1200303', '1200891', '13636', '2200652', '227650', '284.09', '30575002', '41967', '84', 'C0015625', 'C62505', 'D005199', 'Fanconi pancytopenia', 'Fanconi panmyelopathy', ""Fanconi's anaemia"", ""Fanconi's anemia"", 'Panmyelopathy, Fanconi', 'pancytopenia, congenital', 'primary erythroid hypoplasia']",ok,
MONDO:0005737,MONDO:0005737,173635,5736,MONDO:0005737,Ebola hemorrhagic fever,"A viral hemorrhagic fever that is caused by the Ebola virus, which is transmitted by contact with infected animals or humans; it is characterized by high fever, unexplained bleeding, and a high mortality rate.",active,"['gard_rare', 'nord_rare', 'ordo_disorder', 'orphanet_rare', 'otar', 'rare']",MONDO,mondo,50,"{'MONDO': ['MONDO:0005737'], 'DOID': ['4325'], 'EFO': ['0007243'], 'GARD': ['0002035'], 'ICD10CM': ['A98.4'], 'MEDGEN': ['129219'], 'MESH': ['D019142'], 'MedDRA': ['10014071'], 'NCIT': ['C36171'], 'Orphanet': ['319218'], 'SCTID': ['37109004'], 'UMLS': ['C0282687'], 'icd11.foundation': ['792755706']}",0,0,,,"['0002035', '0007243', '10014071', '129219', '319218', '37109004', '4325', '792755706', 'A98.4', 'C0282687', 'C36171', 'D019142', 'EHF', 'Ebola', 'Ebola fever', 'Ebola virus disease', 'Ebolavirus caused disease or disorder', 'Ebolavirus disease or disorder', 'Ebolavirus infectious disease']",ok,
cystic fibrosis,cystic fibrosis,176959,9060,MONDO:0009061,cystic fibrosis,"Autosomal recessive disorder caused by pathogenic variants in the CFTR gene (cystic fibrosis transmembrane conductance regulator), which encodes a chloride and bicarbonate channel expressed in epithelial cells, and follow the diagnosis criteria. Diagnosis requires evidence of CFTR dysfunction, defined as a sweat chloride concentration of 60 mmol/L or greater, or identification of two CF-causing CFTR pathogenic variants, or an abnormal nasal potential difference measurement. CF is a progressive, multi-organ disease characterized by chronic obstructive lung disease with recurrent infections, exocrine pancreatic insufficiency, intestinal obstruction (including meconium ileus in neonates), male infertility due to obstructive azoospermia, hepatobiliary complications, and elevated sweat chloride concentrations.",active,"['gard_rare', 'nord_rare', 'omim_susceptibility', 'ordo_disorder', 'orphanet_rare', 'otar', 'rare']",MONDO,mondo,50,"{'MONDO': ['MONDO:0009061'], 'DOID': ['1485'], 'GARD': ['0006233'], 'ICD10CM': ['E84'], 'ICD9': ['277.0'], 'MEDGEN': ['41393'], 'MESH': ['D003550'], 'MedDRA': ['10011762'], 'NANDO': ['1200922', '1201021', '2100035', '2200205'], 'NCIT': ['C2975'], 'NORD': ['1026'], 'OMIM': ['219700'], 'Orphanet': ['586'], 'SCTID': ['190905008'], 'UMLS': ['C0010674'], 'icd11.foundation': ['514403112']}",0,0,,,"['0006233', '10011762', '1026', '1200922', '1201021', '1485', '190905008', '2100035', '219700', '2200205', '277.0', '41393', '514403112', '586', 'C0010674', 'C2975', 'CF', 'D003550', 'E84', 'cystic fibrosis lung disease, modifier of', 'fibrocystic disease of the pancreas', 'mucoviscidosis', 'pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis']",ok,
NOT_A_DISEASE,,,,,,,,[],,,,,,,,,[],not_found,Input not resolved to a Disease entity.
