input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-164843,R-HSA-164843,125943,R-HSA-164843,2-LTR circle formation,Reactome,reactome,,,,['2-LTR circle formation'],ok,
R-HSA-9909438,R-HSA-9909438,125944,R-HSA-9909438,3-Methylcrotonyl-CoA carboxylase deficiency,Reactome,reactome,,,,['3-Methylcrotonyl-CoA carboxylase deficiency'],ok,
R-HSA-9916722,R-HSA-9916722,125945,R-HSA-9916722,3-hydroxyisobutyryl-CoA hydrolase deficiency,Reactome,reactome,,,,['3-hydroxyisobutyryl-CoA hydrolase deficiency'],ok,
R-HSA-9914274,R-HSA-9914274,125946,R-HSA-9914274,3-methylglutaconic aciduria,Reactome,reactome,,,,['3-methylglutaconic aciduria'],ok,
R-HSA-73843,R-HSA-73843,125947,R-HSA-73843,5-Phosphoribose 1-diphosphate biosynthesis,Reactome,reactome,,,,['5-Phosphoribose 1-diphosphate biosynthesis'],ok,
R-HSA-5619084,R-HSA-5619084,125948,R-HSA-5619084,ABC transporter disorders,Reactome,reactome,,,,['ABC transporter disorders'],ok,
R-HSA-1369062,R-HSA-1369062,125949,R-HSA-1369062,ABC transporters in lipid homeostasis,Reactome,reactome,,,,['ABC transporters in lipid homeostasis'],ok,
R-HSA-382556,R-HSA-382556,125950,R-HSA-382556,ABC-family proteins mediated transport,Reactome,reactome,,,,['ABC-family proteins mediated transport'],ok,
R-HSA-9033807,R-HSA-9033807,125951,R-HSA-9033807,ABO blood group biosynthesis,Reactome,reactome,,,,['ABO blood group biosynthesis'],ok,
R-HSA-9660821,R-HSA-9660821,125952,R-HSA-9660821,ADORA2B mediated anti-inflammatory cytokines production,Reactome,reactome,,,,['ADORA2B mediated anti-inflammatory cytokines production'],ok,
R-HSA-418592,R-HSA-418592,125953,R-HSA-418592,ADP signalling through P2Y purinoceptor 1,Reactome,reactome,,,,['ADP signalling through P2Y purinoceptor 1'],ok,
R-HSA-392170,R-HSA-392170,125954,R-HSA-392170,ADP signalling through P2Y purinoceptor 12,Reactome,reactome,,,,['ADP signalling through P2Y purinoceptor 12'],ok,
R-HSA-198323,R-HSA-198323,125955,R-HSA-198323,AKT phosphorylates targets in the cytosol,Reactome,reactome,,,,['AKT phosphorylates targets in the cytosol'],ok,
R-HSA-198693,R-HSA-198693,125956,R-HSA-198693,AKT phosphorylates targets in the nucleus,Reactome,reactome,,,,['AKT phosphorylates targets in the nucleus'],ok,
R-HSA-211163,R-HSA-211163,125957,R-HSA-211163,AKT-mediated inactivation of FOXO1A,Reactome,reactome,,,,['AKT-mediated inactivation of FOXO1A'],ok,
R-HSA-9700645,R-HSA-9700645,125958,R-HSA-9700645,ALK mutants bind TKIs,Reactome,reactome,,,,['ALK mutants bind TKIs'],ok,
R-HSA-112122,R-HSA-112122,125959,R-HSA-112122,ALKBH2 mediated reversal of alkylation damage,Reactome,reactome,,,,['ALKBH2 mediated reversal of alkylation damage'],ok,
R-HSA-112126,R-HSA-112126,125960,R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,Reactome,reactome,,,,['ALKBH3 mediated reversal of alkylation damage'],ok,
R-HSA-163680,R-HSA-163680,125961,R-HSA-163680,AMPK inhibits chREBP transcriptional activation activity,Reactome,reactome,,,,['AMPK inhibits chREBP transcriptional activation activity'],ok,
R-HSA-9931269,R-HSA-9931269,125962,R-HSA-9931269,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),Reactome,reactome,,,,['AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)'],ok,
R-HSA-5467333,R-HSA-5467333,125963,R-HSA-5467333,APC truncation mutants are not K63 polyubiquitinated,Reactome,reactome,,,,['APC truncation mutants are not K63 polyubiquitinated'],ok,
R-HSA-5467337,R-HSA-5467337,125964,R-HSA-5467337,APC truncation mutants have impaired AXIN binding,Reactome,reactome,,,,['APC truncation mutants have impaired AXIN binding'],ok,
R-HSA-179409,R-HSA-179409,125965,R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A,Reactome,reactome,,,,['APC-Cdc20 mediated degradation of Nek2A'],ok,
R-HSA-174143,R-HSA-174143,125966,R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,Reactome,reactome,,,,['APC/C-mediated degradation of cell cycle proteins'],ok,
R-HSA-174048,R-HSA-174048,125967,R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B,Reactome,reactome,,,,['APC/C:Cdc20 mediated degradation of Cyclin B'],ok,
R-HSA-174154,R-HSA-174154,125968,R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,Reactome,reactome,,,,['APC/C:Cdc20 mediated degradation of Securin'],ok,
R-HSA-176409,R-HSA-176409,125969,R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,Reactome,reactome,,,,['APC/C:Cdc20 mediated degradation of mitotic proteins'],ok,
R-HSA-174178,R-HSA-174178,125970,R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,Reactome,reactome,,,,['APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1'],ok,
R-HSA-179419,R-HSA-179419,125971,R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,Reactome,reactome,,,,['APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint'],ok,
R-HSA-5649702,R-HSA-5649702,125972,R-HSA-5649702,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Reactome,reactome,,,,['APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway'],ok,
R-HSA-180689,R-HSA-180689,125973,R-HSA-180689,APOBEC3G mediated resistance to HIV-1 infection,Reactome,reactome,,,,['APOBEC3G mediated resistance to HIV-1 infection'],ok,
R-HSA-9956514,R-HSA-9956514,125974,R-HSA-9956514,ARG1 variants cause hyperargininemia,Reactome,reactome,,,,['ARG1 variants cause hyperargininemia'],ok,
R-HSA-5624958,R-HSA-5624958,125975,R-HSA-5624958,ARL13B-mediated ciliary trafficking of INPP5E,Reactome,reactome,,,,['ARL13B-mediated ciliary trafficking of INPP5E'],ok,
R-HSA-170984,R-HSA-170984,125976,R-HSA-170984,ARMS-mediated activation,Reactome,reactome,,,,['ARMS-mediated activation'],ok,
R-HSA-9956529,R-HSA-9956529,125977,R-HSA-9956529,ASL variants cause argininosuccinate aciduria,Reactome,reactome,,,,['ASL variants cause argininosuccinate aciduria'],ok,
R-HSA-9717264,R-HSA-9717264,125978,R-HSA-9717264,ASP-3026-resistant ALK mutants,Reactome,reactome,,,,['ASP-3026-resistant ALK mutants'],ok,
R-HSA-9956520,R-HSA-9956520,125979,R-HSA-9956520,ASS1 variants cause citrullinemia,Reactome,reactome,,,,['ASS1 variants cause citrullinemia'],ok,
R-HSA-380994,R-HSA-380994,125980,R-HSA-380994,ATF4 activates genes in response to endoplasmic reticulum  stress,Reactome,reactome,,,,['ATF4 activates genes in response to endoplasmic reticulum  stress'],ok,
R-HSA-381183,R-HSA-381183,125981,R-HSA-381183,ATF6 (ATF6-alpha) activates chaperone genes,Reactome,reactome,,,,['ATF6 (ATF6-alpha) activates chaperone genes'],ok,
R-HSA-381033,R-HSA-381033,125982,R-HSA-381033,ATF6 (ATF6-alpha) activates chaperones,Reactome,reactome,,,,['ATF6 (ATF6-alpha) activates chaperones'],ok,
R-HSA-8874177,R-HSA-8874177,125983,R-HSA-8874177,ATF6B (ATF6-beta) activates chaperones,Reactome,reactome,,,,['ATF6B (ATF6-beta) activates chaperones'],ok,
R-HSA-1296025,R-HSA-1296025,125984,R-HSA-1296025,ATP sensitive Potassium channels,Reactome,reactome,,,,['ATP sensitive Potassium channels'],ok,
R-HSA-9932444,R-HSA-9932444,125985,R-HSA-9932444,ATP-dependent chromatin remodelers,Reactome,reactome,,,,['ATP-dependent chromatin remodelers'],ok,
R-HSA-450408,R-HSA-450408,125986,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,Reactome,reactome,,,,['AUF1 (hnRNP D0) binds and destabilizes mRNA'],ok,
R-HSA-8854518,R-HSA-8854518,125987,R-HSA-8854518,AURKA Activation by TPX2,Reactome,reactome,,,,['AURKA Activation by TPX2'],ok,
R-HSA-5467340,R-HSA-5467340,125988,R-HSA-5467340,AXIN missense mutants destabilize the destruction complex,Reactome,reactome,,,,['AXIN missense mutants destabilize the destruction complex'],ok,
R-HSA-2161522,R-HSA-2161522,125989,R-HSA-2161522,Abacavir ADME,Reactome,reactome,,,,['Abacavir ADME'],ok,
R-HSA-2161541,R-HSA-2161541,125990,R-HSA-2161541,Abacavir metabolism,Reactome,reactome,,,,['Abacavir metabolism'],ok,
R-HSA-2161517,R-HSA-2161517,125991,R-HSA-2161517,Abacavir transmembrane transport,Reactome,reactome,,,,['Abacavir transmembrane transport'],ok,
R-HSA-73930,R-HSA-73930,125992,R-HSA-73930,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Reactome,reactome,,,,['Abasic sugar-phosphate removal via the single-nucleotide replacement pathway'],ok,
R-HSA-9659787,R-HSA-9659787,125993,R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,Reactome,reactome,,,,['Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects'],ok,
R-HSA-9687139,R-HSA-9687139,125994,R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,Reactome,reactome,,,,['Aberrant regulation of mitotic cell cycle due to RB1 defects'],ok,
R-HSA-9687136,R-HSA-9687136,125995,R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects,Reactome,reactome,,,,['Aberrant regulation of mitotic exit in cancer due to RB1 defects'],ok,
R-HSA-2978092,R-HSA-2978092,125996,R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Reactome,reactome,,,,['Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate'],ok,
R-HSA-167242,R-HSA-167242,125997,R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,Reactome,reactome,,,,['Abortive elongation of HIV-1 transcript in the absence of Tat'],ok,
R-HSA-156582,R-HSA-156582,125998,R-HSA-156582,Acetylation,Reactome,reactome,,,,['Acetylation'],ok,
R-HSA-264642,R-HSA-264642,125999,R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,Reactome,reactome,,,,['Acetylcholine Neurotransmitter Release Cycle'],ok,
R-HSA-181431,R-HSA-181431,126000,R-HSA-181431,Acetylcholine binding and downstream events,Reactome,reactome,,,,['Acetylcholine binding and downstream events'],ok,
R-HSA-9667769,R-HSA-9667769,126001,R-HSA-9667769,Acetylcholine inhibits contraction of outer hair cells,Reactome,reactome,,,,['Acetylcholine inhibits contraction of outer hair cells'],ok,
R-HSA-399997,R-HSA-399997,126002,R-HSA-399997,Acetylcholine regulates insulin secretion,Reactome,reactome,,,,['Acetylcholine regulates insulin secretion'],ok,
R-HSA-1300645,R-HSA-1300645,126003,R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding,Reactome,reactome,,,,['Acrosome Reaction and Sperm:Oocyte Membrane Binding'],ok,
R-HSA-9638771,R-HSA-9638771,126004,R-HSA-9638771,Action of antimicrobials,Reactome,reactome,,,,['Action of antimicrobials'],ok,
R-HSA-9638737,R-HSA-9638737,126005,R-HSA-9638737,Action of antimicrobials and antimicrobial resistance,Reactome,reactome,,,,['Action of antimicrobials and antimicrobial resistance'],ok,
R-HSA-2122948,R-HSA-2122948,126006,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,Reactome,reactome,,,,['Activated NOTCH1 Transmits Signal to the Nucleus'],ok,
R-HSA-9032845,R-HSA-9032845,126007,R-HSA-9032845,Activated NTRK2 signals through CDK5,Reactome,reactome,,,,['Activated NTRK2 signals through CDK5'],ok,
R-HSA-9028731,R-HSA-9028731,126008,R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,Reactome,reactome,,,,['Activated NTRK2 signals through FRS2 and FRS3'],ok,
R-HSA-9032500,R-HSA-9032500,126009,R-HSA-9032500,Activated NTRK2 signals through FYN,Reactome,reactome,,,,['Activated NTRK2 signals through FYN'],ok,
R-HSA-9028335,R-HSA-9028335,126010,R-HSA-9028335,Activated NTRK2 signals through PI3K,Reactome,reactome,,,,['Activated NTRK2 signals through PI3K'],ok,
R-HSA-9026527,R-HSA-9026527,126011,R-HSA-9026527,Activated NTRK2 signals through PLCG1,Reactome,reactome,,,,['Activated NTRK2 signals through PLCG1'],ok,
R-HSA-9026519,R-HSA-9026519,126012,R-HSA-9026519,Activated NTRK2 signals through RAS,Reactome,reactome,,,,['Activated NTRK2 signals through RAS'],ok,
R-HSA-9603381,R-HSA-9603381,126013,R-HSA-9603381,Activated NTRK3 signals through PI3K,Reactome,reactome,,,,['Activated NTRK3 signals through PI3K'],ok,
R-HSA-9034793,R-HSA-9034793,126014,R-HSA-9034793,Activated NTRK3 signals through PLCG1,Reactome,reactome,,,,['Activated NTRK3 signals through PLCG1'],ok,
R-HSA-9034864,R-HSA-9034864,126015,R-HSA-9034864,Activated NTRK3 signals through RAS,Reactome,reactome,,,,['Activated NTRK3 signals through RAS'],ok,
R-HSA-5625886,R-HSA-5625886,126016,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,Reactome,reactome,,,,['Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3'],ok,
R-HSA-2033519,R-HSA-2033519,126017,R-HSA-2033519,Activated point mutants of FGFR2,Reactome,reactome,,,,['Activated point mutants of FGFR2'],ok,
R-HSA-111452,R-HSA-111452,126018,R-HSA-111452,Activation and oligomerization of BAK protein,Reactome,reactome,,,,['Activation and oligomerization of BAK protein'],ok,
R-HSA-165158,R-HSA-165158,126019,R-HSA-165158,Activation of AKT2,Reactome,reactome,,,,['Activation of AKT2'],ok,
R-HSA-399710,R-HSA-399710,126020,R-HSA-399710,Activation of AMPA receptors,Reactome,reactome,,,,['Activation of AMPA receptors'],ok,
R-HSA-9619483,R-HSA-9619483,126021,R-HSA-9619483,Activation of AMPK downstream of NMDARs,Reactome,reactome,,,,['Activation of AMPK downstream of NMDARs'],ok,
R-HSA-176814,R-HSA-176814,126022,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Reactome,reactome,,,,['Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins'],ok,
R-HSA-176187,R-HSA-176187,126023,R-HSA-176187,Activation of ATR in response to replication stress,Reactome,reactome,,,,['Activation of ATR in response to replication stress'],ok,
R-HSA-111447,R-HSA-111447,126024,R-HSA-111447,Activation of BAD and translocation to mitochondria ,Reactome,reactome,,,,['Activation of BAD and translocation to mitochondria'],ok,
R-HSA-114452,R-HSA-114452,126025,R-HSA-114452,Activation of BH3-only proteins,Reactome,reactome,,,,['Activation of BH3-only proteins'],ok,
R-HSA-111446,R-HSA-111446,126026,R-HSA-111446,Activation of BIM and translocation to mitochondria ,Reactome,reactome,,,,['Activation of BIM and translocation to mitochondria'],ok,
R-HSA-139910,R-HSA-139910,126027,R-HSA-139910,Activation of BMF and translocation to mitochondria,Reactome,reactome,,,,['Activation of BMF and translocation to mitochondria'],ok,
R-HSA-174577,R-HSA-174577,126028,R-HSA-174577,Activation of C3 and C5,Reactome,reactome,,,,['Activation of C3 and C5'],ok,
R-HSA-451308,R-HSA-451308,126029,R-HSA-451308,Activation of Ca-permeable Kainate Receptor,Reactome,reactome,,,,['Activation of Ca-permeable Kainate Receptor'],ok,
R-HSA-1296041,R-HSA-1296041,126030,R-HSA-1296041,Activation of G protein gated Potassium channels,Reactome,reactome,,,,['Activation of G protein gated Potassium channels'],ok,
R-HSA-991365,R-HSA-991365,126031,R-HSA-991365,Activation of GABAB receptors,Reactome,reactome,,,,['Activation of GABAB receptors'],ok,
R-HSA-5619507,R-HSA-5619507,126032,R-HSA-5619507,Activation of HOX genes during differentiation,Reactome,reactome,,,,['Activation of HOX genes during differentiation'],ok,
R-HSA-936964,R-HSA-936964,126033,R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",Reactome,reactome,,,,"['Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)']",ok,
R-HSA-1592389,R-HSA-1592389,126034,R-HSA-1592389,Activation of Matrix Metalloproteinases,Reactome,reactome,,,,['Activation of Matrix Metalloproteinases'],ok,
R-HSA-1169091,R-HSA-1169091,126035,R-HSA-1169091,Activation of NF-kappaB in B cells,Reactome,reactome,,,,['Activation of NF-kappaB in B cells'],ok,
R-HSA-2980767,R-HSA-2980767,126036,R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",Reactome,reactome,,,,"['Activation of NIMA Kinases NEK9, NEK6, NEK7']",ok,
R-HSA-442755,R-HSA-442755,126037,R-HSA-442755,Activation of NMDA receptors and postsynaptic events,Reactome,reactome,,,,['Activation of NMDA receptors and postsynaptic events'],ok,
R-HSA-111448,R-HSA-111448,126038,R-HSA-111448,Activation of NOXA and translocation to mitochondria,Reactome,reactome,,,,['Activation of NOXA and translocation to mitochondria'],ok,
R-HSA-451307,R-HSA-451307,126039,R-HSA-451307,Activation of Na-permeable kainate receptors,Reactome,reactome,,,,['Activation of Na-permeable kainate receptors'],ok,
R-HSA-2151209,R-HSA-2151209,126040,R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,Reactome,reactome,,,,['Activation of PPARGC1A (PGC-1alpha) by phosphorylation'],ok,
R-HSA-139915,R-HSA-139915,126041,R-HSA-139915,Activation of PUMA and translocation to mitochondria,Reactome,reactome,,,,['Activation of PUMA and translocation to mitochondria'],ok,
R-HSA-428540,R-HSA-428540,126042,R-HSA-428540,Activation of RAC1,Reactome,reactome,,,,['Activation of RAC1'],ok,
R-HSA-9619229,R-HSA-9619229,126043,R-HSA-9619229,Activation of RAC1 downstream of NMDARs,Reactome,reactome,,,,['Activation of RAC1 downstream of NMDARs'],ok,
R-HSA-1169092,R-HSA-1169092,126044,R-HSA-1169092,Activation of RAS in B cells,Reactome,reactome,,,,['Activation of RAS in B cells'],ok,
R-HSA-5635838,R-HSA-5635838,126045,R-HSA-5635838,Activation of SMO,Reactome,reactome,,,,['Activation of SMO'],ok,
R-HSA-187015,R-HSA-187015,126046,R-HSA-187015,Activation of TRKA receptors,Reactome,reactome,,,,['Activation of TRKA receptors'],ok,
R-HSA-5617472,R-HSA-5617472,126047,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,Reactome,reactome,,,,['Activation of anterior HOX genes in hindbrain development during early embryogenesis'],ok,
R-HSA-111459,R-HSA-111459,126048,R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,Reactome,reactome,,,,['Activation of caspases through apoptosome-mediated cleavage'],ok,
R-HSA-2426168,R-HSA-2426168,126049,R-HSA-2426168,Activation of gene expression by SREBF (SREBP),Reactome,reactome,,,,['Activation of gene expression by SREBF (SREBP)'],ok,
R-HSA-451326,R-HSA-451326,126050,R-HSA-451326,Activation of kainate receptors upon glutamate binding,Reactome,reactome,,,,['Activation of kainate receptors upon glutamate binding'],ok,
R-HSA-450341,R-HSA-450341,126051,R-HSA-450341,Activation of the AP-1 family of transcription factors,Reactome,reactome,,,,['Activation of the AP-1 family of transcription factors'],ok,
R-HSA-8866907,R-HSA-8866907,126052,R-HSA-8866907,Activation of the TFAP2 (AP-2) family of transcription factors,Reactome,reactome,,,,['Activation of the TFAP2 (AP-2) family of transcription factors'],ok,
R-HSA-72662,R-HSA-72662,126053,R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",Reactome,reactome,,,,"['Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S']",ok,
R-HSA-2485179,R-HSA-2485179,126054,R-HSA-2485179,Activation of the phototransduction cascade,Reactome,reactome,,,,['Activation of the phototransduction cascade'],ok,
R-HSA-68962,R-HSA-68962,126055,R-HSA-68962,Activation of the pre-replicative complex,Reactome,reactome,,,,['Activation of the pre-replicative complex'],ok,
R-HSA-75108,R-HSA-75108,126056,R-HSA-75108,"Activation, myristolyation of BID and translocation to mitochondria",Reactome,reactome,,,,"['Activation, myristolyation of BID and translocation to mitochondria']",ok,
R-HSA-114294,R-HSA-114294,126057,R-HSA-114294,"Activation, translocation and oligomerization of BAX",Reactome,reactome,,,,"['Activation, translocation and oligomerization of BAX']",ok,
R-HSA-1482798,R-HSA-1482798,126058,R-HSA-1482798,Acyl chain remodeling of CL,Reactome,reactome,,,,['Acyl chain remodeling of CL'],ok,
R-HSA-1482883,R-HSA-1482883,126059,R-HSA-1482883,Acyl chain remodeling of DAG and TAG,Reactome,reactome,,,,['Acyl chain remodeling of DAG and TAG'],ok,
R-HSA-1482788,R-HSA-1482788,126060,R-HSA-1482788,Acyl chain remodelling of PC,Reactome,reactome,,,,['Acyl chain remodelling of PC'],ok,
R-HSA-1482839,R-HSA-1482839,126061,R-HSA-1482839,Acyl chain remodelling of PE,Reactome,reactome,,,,['Acyl chain remodelling of PE'],ok,
R-HSA-1482925,R-HSA-1482925,126062,R-HSA-1482925,Acyl chain remodelling of PG,Reactome,reactome,,,,['Acyl chain remodelling of PG'],ok,
R-HSA-1482922,R-HSA-1482922,126063,R-HSA-1482922,Acyl chain remodelling of PI,Reactome,reactome,,,,['Acyl chain remodelling of PI'],ok,
R-HSA-1482801,R-HSA-1482801,126064,R-HSA-1482801,Acyl chain remodelling of PS,Reactome,reactome,,,,['Acyl chain remodelling of PS'],ok,
R-HSA-1280218,R-HSA-1280218,126065,R-HSA-1280218,Adaptive Immune System,Reactome,reactome,,,,['Adaptive Immune System'],ok,
R-HSA-417973,R-HSA-417973,126066,R-HSA-417973,Adenosine P1 receptors,Reactome,reactome,,,,['Adenosine P1 receptors'],ok,
R-HSA-170660,R-HSA-170660,126067,R-HSA-170660,Adenylate cyclase activating pathway,Reactome,reactome,,,,['Adenylate cyclase activating pathway'],ok,
R-HSA-170670,R-HSA-170670,126068,R-HSA-170670,Adenylate cyclase inhibitory pathway,Reactome,reactome,,,,['Adenylate cyclase inhibitory pathway'],ok,
R-HSA-418990,R-HSA-418990,126069,R-HSA-418990,Adherens junctions interactions,Reactome,reactome,,,,['Adherens junctions interactions'],ok,
R-HSA-9843745,R-HSA-9843745,126070,R-HSA-9843745,Adipogenesis,Reactome,reactome,,,,['Adipogenesis'],ok,
R-HSA-392023,R-HSA-392023,126071,R-HSA-392023,Adrenaline signalling through Alpha-2 adrenergic receptor,Reactome,reactome,,,,['Adrenaline signalling through Alpha-2 adrenergic receptor'],ok,
R-HSA-400042,R-HSA-400042,126072,R-HSA-400042,"Adrenaline,noradrenaline inhibits insulin secretion",Reactome,reactome,,,,"['Adrenaline,noradrenaline inhibits insulin secretion']",ok,
R-HSA-390696,R-HSA-390696,126073,R-HSA-390696,Adrenoceptors,Reactome,reactome,,,,['Adrenoceptors'],ok,
R-HSA-879415,R-HSA-879415,126074,R-HSA-879415,Advanced glycosylation endproduct receptor signaling,Reactome,reactome,,,,['Advanced glycosylation endproduct receptor signaling'],ok,
R-HSA-1428517,R-HSA-1428517,126075,R-HSA-1428517,Aerobic respiration and respiratory electron transport,Reactome,reactome,,,,['Aerobic respiration and respiratory electron transport'],ok,
R-HSA-5423646,R-HSA-5423646,126076,R-HSA-5423646,Aflatoxin activation and detoxification,Reactome,reactome,,,,['Aflatoxin activation and detoxification'],ok,
R-HSA-9646399,R-HSA-9646399,126077,R-HSA-9646399,Aggrephagy,Reactome,reactome,,,,['Aggrephagy'],ok,
R-HSA-351143,R-HSA-351143,126078,R-HSA-351143,Agmatine biosynthesis,Reactome,reactome,,,,['Agmatine biosynthesis'],ok,
R-HSA-8964540,R-HSA-8964540,126079,R-HSA-8964540,Alanine metabolism,Reactome,reactome,,,,['Alanine metabolism'],ok,
R-HSA-9730737,R-HSA-9730737,126080,R-HSA-9730737,Alkylating DNA damage induced by chemotherapeutic drugs,Reactome,reactome,,,,['Alkylating DNA damage induced by chemotherapeutic drugs'],ok,
R-HSA-1462054,R-HSA-1462054,126081,R-HSA-1462054,Alpha-defensins,Reactome,reactome,,,,['Alpha-defensins'],ok,
R-HSA-389599,R-HSA-389599,126082,R-HSA-389599,Alpha-oxidation of phytanate,Reactome,reactome,,,,['Alpha-oxidation of phytanate'],ok,
R-HSA-9645460,R-HSA-9645460,126083,R-HSA-9645460,Alpha-protein kinase 1 signaling pathway,Reactome,reactome,,,,['Alpha-protein kinase 1 signaling pathway'],ok,
R-HSA-9006821,R-HSA-9006821,126084,R-HSA-9006821,Alternative Lengthening of Telomeres (ALT),Reactome,reactome,,,,['Alternative Lengthening of Telomeres (ALT)'],ok,
R-HSA-173736,R-HSA-173736,126085,R-HSA-173736,Alternative complement activation,Reactome,reactome,,,,['Alternative complement activation'],ok,
R-HSA-140179,R-HSA-140179,126086,R-HSA-140179,Amine Oxidase reactions,Reactome,reactome,,,,['Amine Oxidase reactions'],ok,
R-HSA-375280,R-HSA-375280,126087,R-HSA-375280,Amine ligand-binding receptors,Reactome,reactome,,,,['Amine ligand-binding receptors'],ok,
R-HSA-156587,R-HSA-156587,126088,R-HSA-156587,Amino Acid conjugation,Reactome,reactome,,,,['Amino Acid conjugation'],ok,
R-HSA-352230,R-HSA-352230,126089,R-HSA-352230,Amino acid transport across the plasma membrane,Reactome,reactome,,,,['Amino acid transport across the plasma membrane'],ok,
R-HSA-9639288,R-HSA-9639288,126090,R-HSA-9639288,Amino acids regulate mTORC1,Reactome,reactome,,,,['Amino acids regulate mTORC1'],ok,
R-HSA-141444,R-HSA-141444,126091,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Reactome,reactome,,,,['Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal'],ok,
R-HSA-141424,R-HSA-141424,126092,R-HSA-141424,Amplification of signal from the kinetochores,Reactome,reactome,,,,['Amplification of signal from the kinetochores'],ok,
R-HSA-977225,R-HSA-977225,126093,R-HSA-977225,Amyloid fiber formation,Reactome,reactome,,,,['Amyloid fiber formation'],ok,
R-HSA-2214320,R-HSA-2214320,126094,R-HSA-2214320,Anchoring fibril formation,Reactome,reactome,,,,['Anchoring fibril formation'],ok,
R-HSA-5620912,R-HSA-5620912,126095,R-HSA-5620912,Anchoring of the basal body to the plasma membrane,Reactome,reactome,,,,['Anchoring of the basal body to the plasma membrane'],ok,
R-HSA-193048,R-HSA-193048,126096,R-HSA-193048,Androgen biosynthesis,Reactome,reactome,,,,['Androgen biosynthesis'],ok,
R-HSA-2473224,R-HSA-2473224,126097,R-HSA-2473224,Antagonism of Activin by Follistatin,Reactome,reactome,,,,['Antagonism of Activin by Follistatin'],ok,
R-HSA-9662851,R-HSA-9662851,126098,R-HSA-9662851,Anti-inflammatory response favouring Leishmania parasite infection,Reactome,reactome,,,,['Anti-inflammatory response favouring Leishmania parasite infection'],ok,
R-HSA-983170,R-HSA-983170,126099,R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Reactome,reactome,,,,"['Antigen Presentation: Folding, assembly and peptide loading of class I MHC']",ok,
R-HSA-983695,R-HSA-983695,126100,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Reactome,reactome,,,,['Antigen activates B Cell Receptor (BCR) leading to generation of second messengers'],ok,
