input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-5579006,R-HSA-5579006,126525,R-HSA-5579006,Defective GSS causes GSS deficiency,Reactome,reactome,,,,['Defective GSS causes GSS deficiency'],ok,
R-HSA-9704331,R-HSA-9704331,126526,R-HSA-9704331,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,Reactome,reactome,,,,['Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function'],ok,
R-HSA-9704646,R-HSA-9704646,126527,R-HSA-9704646,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,Reactome,reactome,,,,['Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function'],ok,
R-HSA-3656234,R-HSA-3656234,126528,R-HSA-3656234,Defective HEXA causes GM2G1 (Hyaluronan metabolism),Reactome,reactome,,,,['Defective HEXA causes GM2G1 (Hyaluronan metabolism)'],ok,
R-HSA-3656248,R-HSA-3656248,126529,R-HSA-3656248,Defective HEXB causes GM2G2 (Hyaluronan metabolism),Reactome,reactome,,,,['Defective HEXB causes GM2G2 (Hyaluronan metabolism)'],ok,
R-HSA-5619056,R-HSA-5619056,126530,R-HSA-5619056,Defective HK1 causes hexokinase deficiency (HK deficiency),Reactome,reactome,,,,['Defective HK1 causes hexokinase deficiency (HK deficiency)'],ok,
R-HSA-3371599,R-HSA-3371599,126531,R-HSA-3371599,Defective HLCS causes multiple carboxylase deficiency,Reactome,reactome,,,,['Defective HLCS causes multiple carboxylase deficiency'],ok,
R-HSA-9734281,R-HSA-9734281,126532,R-HSA-9734281,Defective HPRT1 disrupts guanine and hypoxanthine salvage,Reactome,reactome,,,,['Defective HPRT1 disrupts guanine and hypoxanthine salvage'],ok,
R-HSA-9670621,R-HSA-9670621,126533,R-HSA-9670621,Defective Inhibition of DNA Recombination at Telomere,Reactome,reactome,,,,['Defective Inhibition of DNA Recombination at Telomere'],ok,
R-HSA-9670615,R-HSA-9670615,126534,R-HSA-9670615,Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations,Reactome,reactome,,,,['Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations'],ok,
R-HSA-9670613,R-HSA-9670613,126535,R-HSA-9670613,Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations,Reactome,reactome,,,,['Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations'],ok,
R-HSA-9734009,R-HSA-9734009,126536,R-HSA-9734009,Defective Intrinsic Pathway for Apoptosis,Reactome,reactome,,,,['Defective Intrinsic Pathway for Apoptosis'],ok,
R-HSA-9645722,R-HSA-9645722,126537,R-HSA-9645722,Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function,Reactome,reactome,,,,['Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function'],ok,
R-HSA-5083627,R-HSA-5083627,126538,R-HSA-5083627,Defective LARGE causes MDDGA6 and MDDGB6,Reactome,reactome,,,,['Defective LARGE causes MDDGA6 and MDDGB6'],ok,
R-HSA-5083630,R-HSA-5083630,126539,R-HSA-5083630,Defective LFNG causes SCDO3,Reactome,reactome,,,,['Defective LFNG causes SCDO3'],ok,
R-HSA-4793950,R-HSA-4793950,126540,R-HSA-4793950,Defective MAN1B1 causes MRT15,Reactome,reactome,,,,['Defective MAN1B1 causes MRT15'],ok,
R-HSA-5579012,R-HSA-5579012,126541,R-HSA-5579012,Defective MAOA causes BRUNS,Reactome,reactome,,,,['Defective MAOA causes BRUNS'],ok,
R-HSA-5579024,R-HSA-5579024,126542,R-HSA-5579024,Defective MAT1A causes MATD,Reactome,reactome,,,,['Defective MAT1A causes MATD'],ok,
R-HSA-4793952,R-HSA-4793952,126543,R-HSA-4793952,Defective MGAT2 causes CDG-2a,Reactome,reactome,,,,['Defective MGAT2 causes CDG-2a'],ok,
R-HSA-3359475,R-HSA-3359475,126544,R-HSA-3359475,"Defective MMAA causes MMA, cblA type",Reactome,reactome,,,,"['Defective MMAA causes MMA, cblA type']",ok,
R-HSA-3359471,R-HSA-3359471,126545,R-HSA-3359471,"Defective MMAB causes MMA, cblB type",Reactome,reactome,,,,"['Defective MMAB causes MMA, cblB type']",ok,
R-HSA-3359474,R-HSA-3359474,126546,R-HSA-3359474,Defective MMACHC causes MAHCC,Reactome,reactome,,,,['Defective MMACHC causes MAHCC'],ok,
R-HSA-3359473,R-HSA-3359473,126547,R-HSA-3359473,Defective MMADHC causes MMAHCD,Reactome,reactome,,,,['Defective MMADHC causes MMAHCD'],ok,
R-HSA-4793954,R-HSA-4793954,126548,R-HSA-4793954,Defective MOGS causes CDG-2b,Reactome,reactome,,,,['Defective MOGS causes CDG-2b'],ok,
R-HSA-4687000,R-HSA-4687000,126549,R-HSA-4687000,Defective MPDU1 causes CDG-1f,Reactome,reactome,,,,['Defective MPDU1 causes CDG-1f'],ok,
R-HSA-4043916,R-HSA-4043916,126550,R-HSA-4043916,Defective MPI causes MPI-CDG,Reactome,reactome,,,,['Defective MPI causes MPI-CDG'],ok,
R-HSA-3359469,R-HSA-3359469,126551,R-HSA-3359469,Defective MTR causes HMAG,Reactome,reactome,,,,['Defective MTR causes HMAG'],ok,
R-HSA-3359467,R-HSA-3359467,126552,R-HSA-3359467,Defective MTRR causes HMAE,Reactome,reactome,,,,['Defective MTRR causes HMAE'],ok,
R-HSA-3359478,R-HSA-3359478,126553,R-HSA-3359478,Defective MUT causes MMAM,Reactome,reactome,,,,['Defective MUT causes MMAM'],ok,
R-HSA-9608287,R-HSA-9608287,126554,R-HSA-9608287,Defective MUTYH substrate binding,Reactome,reactome,,,,['Defective MUTYH substrate binding'],ok,
R-HSA-9608290,R-HSA-9608290,126555,R-HSA-9608290,Defective MUTYH substrate processing,Reactome,reactome,,,,['Defective MUTYH substrate processing'],ok,
R-HSA-5545483,R-HSA-5545483,126556,R-HSA-5545483,Defective Mismatch Repair Associated With MLH1,Reactome,reactome,,,,['Defective Mismatch Repair Associated With MLH1'],ok,
R-HSA-5632928,R-HSA-5632928,126557,R-HSA-5632928,Defective Mismatch Repair Associated With MSH2,Reactome,reactome,,,,['Defective Mismatch Repair Associated With MSH2'],ok,
R-HSA-5632927,R-HSA-5632927,126558,R-HSA-5632927,Defective Mismatch Repair Associated With MSH3,Reactome,reactome,,,,['Defective Mismatch Repair Associated With MSH3'],ok,
R-HSA-5632968,R-HSA-5632968,126559,R-HSA-5632968,Defective Mismatch Repair Associated With MSH6,Reactome,reactome,,,,['Defective Mismatch Repair Associated With MSH6'],ok,
R-HSA-5632987,R-HSA-5632987,126560,R-HSA-5632987,Defective Mismatch Repair Associated With PMS2,Reactome,reactome,,,,['Defective Mismatch Repair Associated With PMS2'],ok,
R-HSA-4341670,R-HSA-4341670,126561,R-HSA-4341670,Defective NEU1 causes sialidosis,Reactome,reactome,,,,['Defective NEU1 causes sialidosis'],ok,
R-HSA-9630222,R-HSA-9630222,126562,R-HSA-9630222,Defective NTHL1 substrate binding,Reactome,reactome,,,,['Defective NTHL1 substrate binding'],ok,
R-HSA-9630221,R-HSA-9630221,126563,R-HSA-9630221,Defective NTHL1 substrate processing,Reactome,reactome,,,,['Defective NTHL1 substrate processing'],ok,
R-HSA-9657050,R-HSA-9657050,126564,R-HSA-9657050,Defective OGG1 Localization,Reactome,reactome,,,,['Defective OGG1 Localization'],ok,
R-HSA-9656255,R-HSA-9656255,126565,R-HSA-9656255,Defective OGG1 Substrate Binding,Reactome,reactome,,,,['Defective OGG1 Substrate Binding'],ok,
R-HSA-9656256,R-HSA-9656256,126566,R-HSA-9656256,Defective OGG1 Substrate Processing,Reactome,reactome,,,,['Defective OGG1 Substrate Processing'],ok,
R-HSA-5578998,R-HSA-5578998,126567,R-HSA-5578998,Defective OPLAH causes OPLAHD,Reactome,reactome,,,,['Defective OPLAH causes OPLAHD'],ok,
R-HSA-3560796,R-HSA-3560796,126568,R-HSA-3560796,Defective PAPSS2 causes SEMD-PA,Reactome,reactome,,,,['Defective PAPSS2 causes SEMD-PA'],ok,
R-HSA-5609974,R-HSA-5609974,126569,R-HSA-5609974,Defective PGM1 causes PGM1-CDG,Reactome,reactome,,,,['Defective PGM1 causes PGM1-CDG'],ok,
R-HSA-4043911,R-HSA-4043911,126570,R-HSA-4043911,Defective PMM2 causes PMM2-CDG,Reactome,reactome,,,,['Defective PMM2 causes PMM2-CDG'],ok,
